Group Code,Customer Account ID,Customer Name,Line of Business,Line of Coverage,Premium Due Date,Premium Amount,Rate,Payment Amount,Payment Category Name,Marketer Name,Product Name,"* Paid Family Medical Leave  PFML  compensation is identified as Paid Medical Leave  PML  in some states.


Customer Confidential     This document is the property of Principal. It may not be shared without explicit permission of Principal."
00366-00246,1152352-10001,Plants Creative,GROUP,VISION,05/01/2025,.82,13%,.11,RENEWAL,J C SNELLINGS,
00366-00246,1159691-10001,Smiley Dental Ma,GROUP,LIFE,04/01/2025,-1.49,15%,-.22,RENEWAL,J C SNELLINGS,
00366-00246,1159691-10001,Smiley Dental Ma,GROUP,VOL TRM LIFE,04/01/2025,-6.30,15%,-.95,RENEWAL,J C SNELLINGS,
00366-00246,1159691-10001,Smiley Dental Ma,GROUP,ACC,05/01/2025,167.66,25%,41.92,RENEWAL,J C SNELLINGS,
00366-00246,1159691-10001,Smiley Dental Ma,GROUP,VOL TRM LIFE,05/01/2025,530.60,15%,79.59,RENEWAL,J C SNELLINGS,
00366-00246,1159691-10001,Smiley Dental Ma,GROUP,LIFE,05/01/2025,274.16,15%,41.13,RENEWAL,J C SNELLINGS,
00366-00246,1159691-10001,Smiley Dental Ma,GROUP,VOL DENTAL,05/01/2025,1928.01,10%,192.80,RENEWAL,J C SNELLINGS,
00366-00246,1159691-10001,Smiley Dental Ma,GROUP,VISION,05/01/2025,782.48,10%,78.26,RENEWAL,J C SNELLINGS,
00366-00246,1193343-10001,Suzanne Kasler I,GROUP,LTD,05/01/2025,218.39,15%,32.76,FIRST YEAR,J C SNELLINGS,
00366-00246,1193343-10001,Suzanne Kasler I,GROUP,LIFE,05/01/2025,66.26,15%,9.94,FIRST YEAR,J C SNELLINGS,
00366-00246,1193343-10001,Suzanne Kasler I,GROUP,VOL DENTAL,05/01/2025,311.41,10%,31.14,FIRST YEAR,J C SNELLINGS,
00366-00246,1193343-10001,Suzanne Kasler I,GROUP,VISION,05/01/2025,48.21,10%,4.82,FIRST YEAR,J C SNELLINGS,
00366-00246,1194369-10001,Mushiny North Am,GROUP,LTD,05/01/2025,135.00,15%,20.25,FIRST YEAR,J C SNELLINGS,
00366-00246,1194369-10001,Mushiny North Am,GROUP,LIFE,05/01/2025,103.20,15%,15.48,FIRST YEAR,J C SNELLINGS,
00366-00246,1194369-10001,Mushiny North Am,GROUP,STD,05/01/2025,75.00,15%,11.25,FIRST YEAR,J C SNELLINGS,
00366-00246,1194369-10001,Mushiny North Am,GROUP,DENTAL,05/01/2025,207.78,10%,20.78,FIRST YEAR,J C SNELLINGS,
00366-00246,1194369-10001,Mushiny North Am,GROUP,VISION,05/01/2025,26.82,10%,2.68,FIRST YEAR,J C SNELLINGS,
00366-00246,1195180-10001,Oasis Landscapes,GROUP,VOL TRM LIFE,02/01/2025,-122.80,15%,-18.42,FIRST YEAR,J C SNELLINGS,
00366-00246,1195180-10001,Oasis Landscapes,GROUP,VOL TRM LIFE,03/01/2025,-122.80,15%,-18.42,FIRST YEAR,J C SNELLINGS,
00366-00246,1195180-10001,Oasis Landscapes,GROUP,VOL TRM LIFE,04/01/2025,-122.80,15%,-18.42,FIRST YEAR,J C SNELLINGS,
00366-00246,1195180-10001,Oasis Landscapes,GROUP,ACC,05/01/2025,49.76,25%,12.44,FIRST YEAR,J C SNELLINGS,
00366-00246,1195180-10001,Oasis Landscapes,GROUP,VCI,05/01/2025,27.98,25%,6.99,FIRST YEAR,J C SNELLINGS,
00366-00246,1195180-10001,Oasis Landscapes,GROUP,LIFE,05/01/2025,156.63,15%,23.50,FIRST YEAR,J C SNELLINGS,
00366-00246,1195180-10001,Oasis Landscapes,GROUP,VSTD,05/01/2025,99.83,15%,14.98,FIRST YEAR,J C SNELLINGS,
00366-00246,1195180-10001,Oasis Landscapes,GROUP,VOL TRM LIFE,05/01/2025,50.00,15%,7.50,FIRST YEAR,J C SNELLINGS,
